Changed database context to 'adventureworks'.
CustomerID  PrimaryContact                                    
----------- --------------------------------------------------
          1 245-555-0173                                      
          2 keith0@adventure-works.com                        
          3 donna0@adventure-works.com                        
          4 janet1@adventure-works.com                        
          5 lucy0@adventure-works.com                         
          6 rosmarie0@adventure-works.com                     
          7 dominic0@adventure-works.com                      
         10 kathleen0@adventure-works.com                     
         11 katherine0@adventure-works.com                    
         12 johnny0@adventure-works.com                       
         16 christopher1@adventure-works.com                  
         18 david20@adventure-works.com                       
         19 john8@adventure-works.com                         
         20 jean1@adventure-works.com                         
         21 jinghao1@adventure-works.com                      
         22 121-555-0121                                      
         23 kerim0@adventure-works.com                        
         24 kevin5@adventure-works.com                        
         25 donald0@adventure-works.com                       
         28 jackie0@adventure-works.com                       
         29 344-555-0144                                      
         30 todd0@adventure-works.com                         
         34 barbara4@adventure-works.com                      
         37 jim1@adventure-works.com                          
         38 betty0@adventure-works.com                        
         39 sharon2@adventure-works.com                       
         40 darren0@adventure-works.com                       
         41 erin1@adventure-works.com                         
         42 jeremy0@adventure-works.com                       
         43 482-555-0174                                      
         46 david19@adventure-works.com                       
         47 hattie0@adventure-works.com                       
         48 anita0@adventure-works.com                        
         52 rebecca2@adventure-works.com                      
         55 eric6@adventure-works.com                         
         56 brian5@adventure-works.com                        
         57 260-555-0130                                      
         58 peter4@adventure-works.com                        
         59 douglas2@adventure-works.com                      
         60 sean4@adventure-works.com                         
         61 jeffrey3@adventure-works.com                      
         64 290-555-0196                                      
         65 jane2@adventure-works.com                         
         66 alexander1@adventure-works.com                    
         70 deepak0@adventure-works.com                       
         73 margaret1@adventure-works.com                     
         74 christopher2@adventure-works.com                  
         75 aidan0@adventure-works.com                        
         76 james11@adventure-works.com                       
         77 michael13@adventure-works.com                     
         78 819-555-0186                                      
         79 mitch0@adventure-works.com                        
         82 james10@adventure-works.com                       
         83 eric3@adventure-works.com                         
         84 della0@adventure-works.com                        
         88 pamala0@adventure-works.com                       
         91 joy0@adventure-works.com                          
         92 646-555-0137                                      
         93 prashanth0@adventure-works.com                    
         94 scott6@adventure-works.com                        
         95 jane0@adventure-works.com                         
         96 bonnie2@adventure-works.com                       
         97 eugene2@adventure-works.com                       
        100 kirk2@adventure-works.com                         
        101 william1@adventure-works.com                      
        102 linda7@adventure-works.com                        
        106 1 (11) 500 555-0120                               
        109 daniel2@adventure-works.com                       
        110 kendra0@adventure-works.com                       
        111 scott1@adventure-works.com                        
        112 elsie0@adventure-works.com                        
        113 273-555-0111                                      
        114 john14@adventure-works.com                        
        115 george3@adventure-works.com                       
        118 yale0@adventure-works.com                         
        119 phyllis2@adventure-works.com                      
        120 292-555-0128                                      
        124 yuhong1@adventure-works.com                       
        127 119-555-0195                                      
        128 judy3@adventure-works.com                         
        129 connie0@adventure-works.com                       
        130 paulo0@adventure-works.com                        
        131 vanessa0@adventure-works.com                      
        132 teanna0@adventure-works.com                       
        133 michael16@adventure-works.com                     
        136 derek0@adventure-works.com                        
        137 gytis0@adventure-works.com                        
        138 jane1@adventure-works.com                         
        142 jon1@adventure-works.com                          
        145 ted0@adventure-works.com                          
        146 richard1@adventure-works.com                      
        147 alice1@adventure-works.com                        
        148 494-555-0134                                      
        149 cornelius0@adventure-works.com                    
        150 jill1@adventure-works.com                         
        151 walter0@adventure-works.com                       
        154 carlton0@adventure-works.com                      
        155 180-555-0114                                      
        156 lester0@adventure-works.com                       
        160 brigid0@adventure-works.com                       
        163 andrew2@adventure-works.com                       
        164 cindy0@adventure-works.com                        
        165 randall0@adventure-works.com                      
        166 stacey0@adventure-works.com                       
        167 blaine0@adventure-works.com                       
        168 luis0@adventure-works.com                         
        169 147-555-0192                                      
        172 gabriele0@adventure-works.com                     
        173 rudolph0@adventure-works.com                      
        174 michael12@adventure-works.com                     
        178 dick1@adventure-works.com                         
        180 nicky0@adventure-works.com                        
        181 michael18@adventure-works.com                     
        182 stanley0@adventure-works.com                      
        183 344-555-0181                                      
        184 marjorie0@adventure-works.com                     
        185 sandeep1@adventure-works.com                      
        186 pei0@adventure-works.com                          
        187 frank4@adventure-works.com                        
        190 371-555-0112                                      
        191 sandra2@adventure-works.com                       
        192 hao1@adventure-works.com                          
        196 jolie0@adventure-works.com                        
        197 224-555-0126                                      
        198 payton0@adventure-works.com                       
        199 roger1@adventure-works.com                        
        200 peggy0@adventure-works.com                        
        201 edna0@adventure-works.com                         
        202 a0@adventure-works.com                            
        203 jean3@adventure-works.com                         
        204 973-555-0112                                      
        205 frank5@adventure-works.com                        
        208 steve2@adventure-works.com                        
        209 robert6@adventure-works.com                       
        210 josh0@adventure-works.com                         
        214 jennifer1@adventure-works.com                     
        217 chris6@adventure-works.com                        
        218 476-555-0139                                      
        219 brian6@adventure-works.com                        
        220 robert5@adventure-works.com                       
        221 sandra4@adventure-works.com                       
        222 barry1@adventure-works.com                        
        223 joyce0@adventure-works.com                        
        226 vance0@adventure-works.com                        
        227 robin0@adventure-works.com                        
        228 danielle1@adventure-works.com                     
        232 1 (11) 500 555-0140                               
        235 mary7@adventure-works.com                         
        236 lola0@adventure-works.com                         
        237 mary5@adventure-works.com                         
        238 jodan0@adventure-works.com                        
        239 529-555-0195                                      
        240 jessie0@adventure-works.com                       
        241 eric5@adventure-works.com                         
        244 bronson0@adventure-works.com                      
        245 james12@adventure-works.com                       
        246 481-555-0131                                      
        250 denean0@adventure-works.com                       
        253 116-555-0163                                      
        254 robert4@adventure-works.com                       
        255 sunil0@adventure-works.com                        
        256 richard4@adventure-works.com                      
        257 matthias1@adventure-works.com                     
        258 sairaj1@adventure-works.com                       
        259 lucio0@adventure-works.com                        
        262 beth0@adventure-works.com                         
        263 timothy0@adventure-works.com                      
        264 phyllis3@adventure-works.com                      
        268 richard2@adventure-works.com                      
        271 jared0@adventure-works.com                        
        272 henry0@adventure-works.com                        
        273 christie0@adventure-works.com                     
        274 521-555-0183                                      
        275 chris5@adventure-works.com                        
        276 michaeljohn0@adventure-works.com                  
        277 guy0@adventure-works.com                          
        280 frances1@adventure-works.com                      
        281 990-555-0141                                      
        282 billy0@adventure-works.com                        
        286 leo0@adventure-works.com                          
        287 grant1@adventure-works.com                        
        288 241-555-0112                                      
        289 gabriel0@adventure-works.com                      
